"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Y1";"Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm";1;"Crystal 32.768 kHz";;;
2;"U8";"Bosch_LGA-14_3x2.5mm_P0.5mm";1;"BMI323";;;
3;"C35,C7,C6,C11,C10,C34,C42,C36,C8,C9";"C_0805_2012Metric";10;"100 nF";;;
4;"TP5,TP34,TP12,TP6,TP11,TP7,TP36,TP8,TP20,TP22,TP35,TP24,TP2,TP1,TP21,TP19,TP15,TP3";"TestPoint_Pad_D1.0mm";18;"TestPoint";;;
5;"C13,C14";"C_0805_2012Metric";2;"0.1 uF";;;
6;"PWR";"LED_0805_2012Metric";1;"BLULED";;;
7;"U12,U1,U11";"ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y";3;"BMP390";;;
8;"R19";"R_0805_2012Metric";1;"270 Ω";;;
9;"C45,C43,C2,C46,C44,C1";"C_0805_2012Metric";6;"100nF";;;
10;"H1,H2,H3,H4";"MountingHole_2.2mm_M2_ISO7380";4;"MountingHole_Pad";;;
11;"SW5,SW1,SW8,SW9";"Nidec_Copal_CAS-120A";4;"SW_SPDT";;;
12;"U10";"SOT-223";1;"AMS1117-3.3";;;
13;"LEDRES2,LEDRES1";"R_0805_2012Metric";2;"270Ω";;;
14;"C5,C12,C41,C40,C37";"C_0805_2012Metric";5;"10 uF";;;
15;"BS,US";"SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin";2;"SW_SPST";;;
16;"C38,C39";"C_0805_2012Metric";2;"22 uF";;;
17;"U9";"LFCSP-20-1EP_4x4mm_P0.5mm_EP2.6x2.6mm";1;"ADP5063";;;
18;"R7,R6";"R_0805_2012Metric";2;"4.7kΩ";;;
19;"J1,J4,J2,J3";"PinSocket_1x06_P2.54mm_Vertical";4;"Conn_01x06_Pin";;;
20;"R20,R18";"R_0805_2012Metric";2;"10 kΩ";;;
21;"GND";"PinSocket_1x01_P2.54mm_Vertical";1;"Conn_01x01_Pin";;;
22;"R22,R23";"R_0805_2012Metric";2;"10k";;;
23;"R9,R8";"R_0805_2012Metric";2;"1Ω";;;
24;"J6";"BarrelJack_Horizontal";1;"Barrel_Jack";;;
25;"RSTCAP1";"R_0805_2012Metric";1;"0.1uF";;;
26;"R21";"R_0805_2012Metric";1;"10kΩ";;;
27;"C15";"C_0805_2012Metric";1;"3 pF";;;
28;"BT1";"Molex_CLIK-Mate_502382-0270_1x02-1MP_P1.25mm_Vertical";1;"4.2V Batt";;;
29;"BMS";"LED_0805_2012Metric";1;"REDLED";;;
30;"J8";"USB_Micro-B_Amphenol_10104110_Horizontal";1;"USB_B_Micro";;;
31;"LEDRES3";"R_0805_2012Metric";1;"75Ω";;;
32;"SW6";"SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS";1;"SW_Push";;;
33;"GRN";"LED_0805_2012Metric";1;"GREENLED";;;
34;"J9";"microSD_HC_Hirose_DM3AT-SF-PEJM5";1;"Micro_SD_Card";;;
35;"DBG";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Counter_Clockwise";;;
36;"U3";"LQFP-48_7x7mm_P0.5mm";1;"STM32U575CIT6";;;
37;"ORG";"LED_0805_2012Metric";1;"ORNGELED";;;
